_RAJ2000,_DEJ2000,Group,RAJ2000,DEJ2000,zUV,nUV,ngal,nz,mz,r{theta},Rij,sigmalos,Simbad,NAME
163.0066667,45.5996111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 94,10 52 01.60,+45 35 58.6,0.130984,4,4,2,2,0.904,,,Simbad,94
164.8655833,4.4446111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 95,10 59 27.74,+04 26 40.6,0.062221,4,3,1,1,0.686,,,Simbad,95
165.2894583,16.7451944,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 96,11 01 09.47,+16 44 42.7,0.028677,4,3,1,1,1.303,,,Simbad,96
167.52375,-1.01125,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 97,11 10 05.70,-01 00 40.5,0.109176,4,3,2,2,0.834,,,Simbad,97
168.001,29.4170278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 98,11 12 00.24,+29 25 01.3,0.033857,4,4,3,1,1.241,,,Simbad,98
168.433625,39.3359167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 99,11 13 44.07,+39 20 09.3,0.07595,4,4,3,1,0.935,,,Simbad,99
169.5151667,30.5349722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=100,11 18 03.64,+30 32 05.9,0.060382,4,4,3,1,1.106,,,Simbad,100
169.9204167,-6.509,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=101,11 19 40.90,-06 30 32.4,0.06271,4,4,1,1,0.9,,,Simbad,101
170.5192083,42.8034722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=102,11 22 04.61,+42 48 12.5,0.071656,4,3,2,2,0.994,,,Simbad,102
170.6806667,46.8744167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=103,11 22 43.36,+46 52 27.9,0.053545,4,4,3,3,0.936,76.99,138.7,Simbad,103
171.9639167,-0.4691111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=104,11 27 51.34,-00 28 08.8,0.062177,4,3,3,3,1.089,81.53,175.76,Simbad,104
172.9442083,15.4056111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=105,11 31 46.61,+15 24 20.2,0.068909,4,4,3,3,0.823,94.13,21.54,Simbad,105
173.856125,54.9633889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=106,11 35 25.47,+54 57 48.2,0.055501,4,4,3,2,1.045,,,Simbad,106
174.1665417,21.6947222,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=107,11 36 39.97,+21 41 41.0,0.062911,4,4,4,3,1.223,63.0,160.14,Simbad,107
174.257125,12.4555833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=108,11 37 01.71,+12 27 20.1,0.117987,4,4,2,2,0.557,,,Simbad,108
174.7291667,3.5858056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=109,11 38 55.00,+03 35 08.9,0.018672,4,3,2,2,0.634,,,Simbad,109
178.3621667,58.1245278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=110,11 53 26.92,+58 07 28.3,0.065903,4,3,3,3,0.948,97.85,335.58,Simbad,110
178.4711667,51.037,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=111,11 53 53.08,+51 02 13.2,0.078598,4,4,3,1,1.351,,,Simbad,111
179.06975,25.3738333,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=112,11 56 16.74,+25 22 25.8,0.015781,4,3,2,1,1.176,,,Simbad,112
179.1885,22.5009167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=113,11 56 45.24,+22 30 03.3,0.08939,4,4,1,1,0.367,,,Simbad,113
182.5339583,44.6643056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=114,12 10 08.15,+44 39 51.5,0.022862,4,4,4,1,1.178,,,Simbad,114
183.445125,42.7674722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=115,12 13 46.83,+42 46 02.9,0.099166,4,4,2,1,0.901,,,Simbad,115
183.7869167,41.27375,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=116,12 15 08.86,+41 16 25.5,0.037826,4,4,2,1,1.416,,,Simbad,116
184.4374583,20.74375,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=117,12 17 44.99,+20 44 37.5,0.121928,4,4,3,2,0.567,,,Simbad,117
184.9315,65.1046389,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=118,12 19 43.56,+65 06 16.7,0.081962,4,4,3,1,1.055,,,Simbad,118
186.9739167,36.3610278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=119,12 27 53.74,+36 21 39.7,0.033848,4,2,2,2,0.903,,,Simbad,119
187.3144167,38.9423611,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=120,12 29 15.46,+38 56 32.5,0.052832,4,3,1,1,0.942,,,Simbad,120
188.4127083,19.8657222,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=121,12 33 39.05,+19 51 56.6,0.073587,4,4,3,3,1.17,96.17,76.06,Simbad,121
190.3262083,18.3067222,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=122,12 41 18.29,+18 18 24.2,0.070976,4,4,3,2,1.254,,,Simbad,122
190.362375,52.8048333,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=123,12 41 26.97,+52 48 17.4,0.054238,4,4,3,2,1.187,,,Simbad,123
191.2678333,35.6455,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=124,12 45 04.28,+35 38 43.8,,4,4,0,0,1.068,,,Simbad,124
191.297875,23.0356389,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=125,12 45 11.49,+23 02 08.3,0.023099,4,2,2,2,0.582,,,Simbad,125
195.7327917,5.5228889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=126,13 02 55.87,+05 31 22.4,0.069274,4,4,4,4,0.77,72.2,202.75,Simbad,126
196.2650417,40.7613611,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=127,13 05 03.61,+40 45 40.9,0.035248,4,4,3,2,1.016,,,Simbad,127
196.744625,40.0268333,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=128,13 06 58.71,+40 01 36.6,0.074874,4,4,2,2,0.572,,,Simbad,128
197.192875,28.8849722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=129,13 08 46.29,+28 53 05.9,0.060895,4,4,4,1,0.764,,,Simbad,129
197.4750417,30.4240278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=130,13 09 54.01,+30 25 26.5,0.050614,4,4,2,2,0.931,,,Simbad,130
198.0149167,59.8304722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=131,13 12 03.58,+59 49 49.7,0.076899,4,3,2,2,0.825,,,Simbad,131
198.272625,12.6891111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=132,13 13 05.43,+12 41 20.8,0.029737,4,4,4,1,1.45,,,Simbad,132
198.451625,6.97325,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=133,13 13 48.39,+06 58 23.7,0.021535,4,4,3,3,1.401,57.66,481.67,Simbad,133
198.573875,17.2259444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=134,13 14 17.73,+17 13 33.4,0.072774,4,4,2,2,1.16,,,Simbad,134
198.67675,21.8040556,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=135,13 14 42.42,+21 48 14.6,0.0629,4,4,3,3,0.818,78.09,32.66,Simbad,135
199.72225,33.5453889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=136,13 18 53.34,+33 32 43.4,0.038,4,4,2,1,1.219,,,Simbad,136
200.2055,34.1974722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=137,13 20 49.32,+34 11 50.9,0.064273,4,4,4,1,1.612,,,Simbad,137
202.0185833,31.9395833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=138,13 28 04.46,+31 56 22.5,0.038434,4,4,3,1,1.308,,,Simbad,138
202.490125,9.4221667,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=139,13 29 57.63,+09 25 19.8,0.022088,4,4,2,1,1.104,,,Simbad,139
203.32775,11.0959444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=140,13 33 18.66,+11 05 45.4,0.090623,4,4,3,1,1.19,,,Simbad,140
203.68975,33.8934722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=141,13 34 45.54,+33 53 36.5,0.023199,4,3,2,1,0.919,,,Simbad,141
203.8754167,80.5178056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=142,13 35 30.10,+80 31 04.1,0.0502,4,4,4,1,0.937,,,Simbad,142
204.8755417,4.5108889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=143,13 39 30.13,+04 30 39.2,0.023027,4,4,2,2,0.534,,,Simbad,143
206.3775,18.2231389,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=144,13 45 30.60,+18 13 23.3,0.081961,4,3,2,1,1.131,,,Simbad,144
206.85125,-30.4259444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=145,13 47 24.30,-30 25 33.4,0.014489,4,4,2,2,1.173,,,Simbad,145
206.8652083,32.5175,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=146,13 47 27.65,+32 31 03.0,0.13067,4,4,3,2,1.029,,,Simbad,146
207.3410417,21.6881389,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=147,13 49 21.85,+21 41 17.3,0.062163,4,3,1,1,1.07,,,Simbad,147
208.8416667,6.5582222,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=148,13 55 22.00,+06 33 29.6,0.083417,4,4,3,3,1.03,135.98,152.53,Simbad,148
210.4530417,-3.1814444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=149,14 01 48.73,-03 10 53.2,0.067788,4,4,3,3,1.519,198.36,42.47,Simbad,149
210.57925,54.4900833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=150,14 02 19.02,+54 29 24.3,,4,3,0,0,0.784,,,Simbad,150
210.9809583,26.3733056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=151,14 03 55.43,+26 22 23.9,0.088811,4,4,2,2,0.994,,,Simbad,151
211.1970833,24.1832222,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=152,14 04 47.30,+24 10 59.6,0.062093,4,4,2,2,1.058,,,Simbad,152
211.6895417,47.2800833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=153,14 06 45.49,+47 16 48.3,0.059873,4,3,1,1,0.772,,,Simbad,153
212.85225,-29.6494722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=154,14 11 24.54,-29 38 58.1,0.037372,4,3,1,1,1.257,,,Simbad,154
213.2272083,23.3314167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=155,14 12 54.53,+23 19 53.1,0.059727,4,4,2,2,0.75,,,Simbad,155
215.156625,26.8581944,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=156,14 20 37.59,+26 51 29.5,0.036572,4,4,2,1,0.898,,,Simbad,156
215.5055417,28.8665,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=157,14 22 01.33,+28 51 59.4,0.03249,4,3,2,2,0.436,,,Simbad,157
216.5459167,29.7204444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=158,14 26 11.02,+29 43 13.6,0.059054,4,4,4,3,1.338,145.42,119.75,Simbad,158
219.2374167,12.1613056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=159,14 36 56.98,+12 09 40.7,0.054917,4,3,2,2,1.574,,,Simbad,159
219.7087917,9.0435,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=160,14 38 50.11,+09 02 36.6,0.030822,4,4,3,2,1.219,,,Simbad,160
220.7680833,61.3133056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=161,14 43 04.34,+61 18 47.9,0.049216,4,3,3,3,0.563,39.88,245.29,Simbad,161
222.7092083,21.7483611,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=162,14 50 50.21,+21 44 54.1,0.059624,4,4,2,1,1.367,,,Simbad,162
224.680625,53.8741944,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=163,14 58 43.35,+53 52 27.1,0.02624,4,3,3,1,0.95,,,Simbad,163
226.2723333,8.7248056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=164,15 05 05.36,+08 43 29.3,0.073959,4,4,2,2,1.11,,,Simbad,164
226.8839167,28.8340833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=165,15 07 32.14,+28 50 02.7,0.05829,4,2,2,2,1.527,,,Simbad,165
227.270875,61.9424722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=166,15 09 05.01,+61 56 32.9,0.10765,4,3,2,2,0.926,,,Simbad,166
227.771125,39.4765278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=167,15 11 05.07,+39 28 35.5,0.057599,4,3,2,2,1.024,,,Simbad,167
228.1649583,26.5730278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=168,15 12 39.59,+26 34 22.9,0.033186,4,3,2,2,1.081,,,Simbad,168
228.5784167,46.1122778,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=169,15 14 18.82,+46 06 44.2,0.036939,4,4,4,3,0.938,47.41,56.71,Simbad,169
230.173375,30.4668056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=170,15 20 41.61,+30 28 00.5,0.080169,4,3,3,2,1.175,,,Simbad,170
230.946375,2.6689167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=171,15 23 47.13,+02 40 08.1,0.020865,4,4,4,1,1.115,,,Simbad,171
232.7852917,3.8301111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=172,15 31 08.47,+03 49 48.4,0.039322,4,3,1,1,0.628,,,Simbad,172
235.7978333,53.2264444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=173,15 43 11.48,+53 13 35.2,0.042923,4,4,2,2,1.197,,,Simbad,173
236.4512083,44.2590278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=174,15 45 48.29,+44 15 32.5,0.034687,4,4,3,2,0.784,,,Simbad,174
237.7314583,34.0965556,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=175,15 50 55.55,+34 05 47.6,0.052965,4,4,4,3,1.528,79.81,187.39,Simbad,175
238.3765833,20.9671667,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=176,15 53 30.38,+20 58 01.8,0.01876,4,3,3,2,0.863,,,Simbad,176
238.6680833,30.1247778,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=177,15 54 40.34,+30 07 29.2,0.082868,4,3,2,2,1.109,,,Simbad,177
241.1669167,26.6237222,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=178,16 04 40.06,+26 37 25.4,0.117894,4,4,3,2,1.054,,,Simbad,178
244.193625,56.3481111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=179,16 16 46.47,+56 20 53.2,,4,3,0,0,1.225,,,Simbad,179
244.4440833,41.8928056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=180,16 17 46.58,+41 53 34.1,0.060512,4,3,3,1,1.26,,,Simbad,180
245.8170833,15.8041667,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=181,16 23 16.10,+15 48 15.0,0.033885,4,3,2,2,0.795,,,Simbad,181
249.9190417,39.5278611,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=182,16 39 40.57,+39 31 40.3,0.029917,4,4,3,3,1.022,56.22,232.0,Simbad,182
261.6569583,32.2238611,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=183,17 26 37.67,+32 13 25.9,1.09,4,4,1,1,1.311,,,Simbad,183
303.7435,-66.2854722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=184,20 14 58.44,-66 17 07.7,,4,3,0,0,0.417,,,Simbad,184
312.4865,-48.9050278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=185,20 49 56.76,-48 54 18.1,0.030818,4,3,1,1,1.073,,,Simbad,185
